VariantsC(
  (decoder): Sequential(
    (0): Conv2d(8, 192, kernel_size=(1, 1), stride=(1, 1))
    (1): PixelShuffle(upscale_factor=8)
  )
  (encoder): ModuleList(
    (0): TransformerBlock(
      (inflation): Conv2d(3, 16, kernel_size=(1, 1), stride=(1, 1))
      (transformer): MultiheadAttention(
        (out_proj): NonDynamicallyQuantizableLinear(in_features=16, out_features=16, bias=True)
      )
      (deflation): Conv2d(16, 3, kernel_size=(1, 1), stride=(1, 1))
    )
    (1-3): 3 x Sequential(
      (0): TransformerBlock(
        (inflation): Conv2d(3, 16, kernel_size=(1, 1), stride=(1, 1))
        (transformer): MultiheadAttention(
          (out_proj): NonDynamicallyQuantizableLinear(in_features=16, out_features=16, bias=True)
        )
        (deflation): Conv2d(16, 3, kernel_size=(1, 1), stride=(1, 1))
      )
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
  )
  (downsample): ModuleList(
    (0): Sequential(
      (0): Upsample(scale_factor=0.5, mode='bicubic')
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
    (1-2): 2 x Sequential(
      (0): Upsample(scale_factor=0.5, mode='bicubic')
      (1): Conv2d(8, 8, kernel_size=(1, 1), stride=(1, 1))
    )
    (3): Identity()
  )
)
Encoder_0.03M_Decoder_0.0M_Total_0.0M
[2025/03/05 17:43:28] Rank:None, Sample ID:107, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.4839
[2025/03/05 17:43:32] Rank:None, Sample ID:108, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.3454
[2025/03/05 17:43:37] Rank:None, Sample ID:109, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.7767
[2025/03/05 17:43:41] Rank:None, Sample ID:110, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.689
[2025/03/05 17:43:46] Rank:None, Sample ID:111, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.8385
[2025/03/05 17:43:50] Rank:None, Sample ID:112, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.7049
[2025/03/05 17:43:55] Rank:None, Sample ID:113, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.5231
[2025/03/05 17:44:00] Rank:None, Sample ID:114, Epoch[300/300], lr:0.00e+00 pred_PSNR: 24.7041
[2025/03/05 17:44:04] Rank:None, Sample ID:115, Epoch[300/300], lr:0.00e+00 pred_PSNR: 24.7768
[2025/03/05 17:44:08] Rank:None, Sample ID:116, Epoch[300/300], lr:0.00e+00 pred_PSNR: 13.889
[2025/03/05 17:44:13] Rank:None, Sample ID:117, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.0234
[2025/03/05 17:44:18] Rank:None, Sample ID:118, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.3122
[2025/03/05 17:44:23] Rank:None, Sample ID:119, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.5774
[2025/03/05 17:44:28] Rank:None, Sample ID:120, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.7514
[2025/03/05 17:44:32] Rank:None, Sample ID:121, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.6778
[2025/03/05 17:44:37] Rank:None, Sample ID:122, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.8254
[2025/03/05 17:44:42] Rank:None, Sample ID:123, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.4793
[2025/03/05 17:44:47] Rank:None, Sample ID:124, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.7221
[2025/03/05 17:44:51] Rank:None, Sample ID:125, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.0313
[2025/03/05 17:44:56] Rank:None, Sample ID:126, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.2059
[2025/03/05 17:45:01] Rank:None, Sample ID:127, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.3513
[2025/03/05 17:45:05] Rank:None, Sample ID:128, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.7902
[2025/03/05 17:45:10] Rank:None, Sample ID:129, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.9151
[2025/03/05 17:45:16] Rank:None, Sample ID:130, Epoch[300/300], lr:0.00e+00 pred_PSNR: 14.9049
[2025/03/05 17:45:21] Rank:None, Sample ID:131, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.752
[2025/03/05 17:45:27] Rank:None, Sample ID:132, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.5524
[2025/03/05 17:45:32] Rank:None, Sample ID:133, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.9704
[2025/03/05 17:45:38] Rank:None, Sample ID:134, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.4288
[2025/03/05 17:45:43] Rank:None, Sample ID:135, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.3436
[2025/03/05 17:45:49] Rank:None, Sample ID:136, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.9899
[2025/03/05 17:45:55] Rank:None, Sample ID:137, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.1694
[2025/03/05 17:46:01] Rank:None, Sample ID:138, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.1721
[2025/03/05 17:46:06] Rank:None, Sample ID:139, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.3731
[2025/03/05 17:46:11] Rank:None, Sample ID:140, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.8118
[2025/03/05 17:46:16] Rank:None, Sample ID:141, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.2392
[2025/03/05 17:46:21] Rank:None, Sample ID:142, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.5917
[2025/03/05 17:46:26] Rank:None, Sample ID:143, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.1882
[2025/03/05 17:46:31] Rank:None, Sample ID:144, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.4499
[2025/03/05 17:46:35] Rank:None, Sample ID:145, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.6381
[2025/03/05 17:46:39] Rank:None, Sample ID:146, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.1006
[2025/03/05 17:46:45] Rank:None, Sample ID:147, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.0041
[2025/03/05 17:46:49] Rank:None, Sample ID:148, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.3699
[2025/03/05 17:46:54] Rank:None, Sample ID:149, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.8928
[2025/03/05 17:46:59] Rank:None, Sample ID:150, Epoch[300/300], lr:0.00e+00 pred_PSNR: 13.8821
[2025/03/05 17:47:03] Rank:None, Sample ID:151, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.0568
[2025/03/05 17:47:08] Rank:None, Sample ID:152, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.2889
[2025/03/05 17:47:13] Rank:None, Sample ID:153, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.5344
[2025/03/05 17:47:17] Rank:None, Sample ID:154, Epoch[300/300], lr:0.00e+00 pred_PSNR: 14.7011
[2025/03/05 17:47:22] Rank:None, Sample ID:155, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.127
[2025/03/05 17:47:27] Rank:None, Sample ID:156, Epoch[300/300], lr:0.00e+00 pred_PSNR: 13.6092
[2025/03/05 17:47:31] Rank:None, Sample ID:157, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.4383
[2025/03/05 17:47:36] Rank:None, Sample ID:158, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.4866
[2025/03/05 17:47:41] Rank:None, Sample ID:159, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.7544
[2025/03/05 17:47:46] Rank:None, Sample ID:160, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.3907
[2025/03/05 17:47:51] Rank:None, Sample ID:161, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.2686
[2025/03/05 17:47:56] Rank:None, Sample ID:162, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.4362
[2025/03/05 17:48:01] Rank:None, Sample ID:163, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.2904
[2025/03/05 17:48:07] Rank:None, Sample ID:164, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.2342
[2025/03/05 17:48:12] Rank:None, Sample ID:165, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.0889
[2025/03/05 17:48:17] Rank:None, Sample ID:166, Epoch[300/300], lr:0.00e+00 pred_PSNR: 12.39
[2025/03/05 17:48:23] Rank:None, Sample ID:167, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.2694
[2025/03/05 17:48:28] Rank:None, Sample ID:168, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.4413
[2025/03/05 17:48:33] Rank:None, Sample ID:169, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.3079
[2025/03/05 17:48:38] Rank:None, Sample ID:170, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.4661
[2025/03/05 17:48:44] Rank:None, Sample ID:171, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.8347
[2025/03/05 17:48:48] Rank:None, Sample ID:172, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.6397
[2025/03/05 17:48:53] Rank:None, Sample ID:173, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.3377
[2025/03/05 17:48:57] Rank:None, Sample ID:174, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.4804
[2025/03/05 17:49:02] Rank:None, Sample ID:175, Epoch[300/300], lr:0.00e+00 pred_PSNR: 16.3334
[2025/03/05 17:49:07] Rank:None, Sample ID:176, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.1912
[2025/03/05 17:49:13] Rank:None, Sample ID:177, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.9277
[2025/03/05 17:49:19] Rank:None, Sample ID:178, Epoch[300/300], lr:0.00e+00 pred_PSNR: 24.7794
[2025/03/05 17:49:24] Rank:None, Sample ID:179, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.9419
[2025/03/05 17:49:30] Rank:None, Sample ID:180, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.5383
[2025/03/05 17:49:36] Rank:None, Sample ID:181, Epoch[300/300], lr:0.00e+00 pred_PSNR: 14.8201
[2025/03/05 17:49:41] Rank:None, Sample ID:182, Epoch[300/300], lr:0.00e+00 pred_PSNR: 14.3179
[2025/03/05 17:49:47] Rank:None, Sample ID:183, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.2412
[2025/03/05 17:49:52] Rank:None, Sample ID:184, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.8618
[2025/03/05 17:49:57] Rank:None, Sample ID:185, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.2988
