VariantsC(
  (decoder): Sequential(
    (0): Conv2d(8, 192, kernel_size=(1, 1), stride=(1, 1))
    (1): PixelShuffle(upscale_factor=8)
  )
  (encoder): ModuleList(
    (0): SSMBlock(
      (block): S4ND(
        (kernel): ModuleList(
          (0-1): 2 x SSMKernelDPLR()
        )
      )
    )
    (1-3): 3 x Sequential(
      (0): SSMBlock(
        (block): S4ND(
          (kernel): ModuleList(
            (0-1): 2 x SSMKernelDPLR()
          )
        )
      )
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
  )
  (downsample): ModuleList(
    (0): Sequential(
      (0): Upsample(scale_factor=0.5, mode='bicubic')
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
    (1-2): 2 x Sequential(
      (0): Upsample(scale_factor=0.5, mode='bicubic')
      (1): Conv2d(8, 8, kernel_size=(1, 1), stride=(1, 1))
    )
    (3): Identity()
  )
)
Encoder_0.0M_Decoder_0.0M_Total_0.0M
[2025/03/05 17:56:09] Rank:None, Sample ID:93, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.0377
[2025/03/05 17:56:17] Rank:None, Sample ID:94, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.1851
[2025/03/05 17:56:25] Rank:None, Sample ID:95, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.853
[2025/03/05 17:56:33] Rank:None, Sample ID:96, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.6838
[2025/03/05 17:56:41] Rank:None, Sample ID:97, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.018
[2025/03/05 17:56:49] Rank:None, Sample ID:98, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.1146
[2025/03/05 17:56:56] Rank:None, Sample ID:99, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.7545
[2025/03/05 17:57:04] Rank:None, Sample ID:100, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.8083
[2025/03/05 17:57:11] Rank:None, Sample ID:101, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.9596
[2025/03/05 17:57:19] Rank:None, Sample ID:102, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.8711
[2025/03/05 17:57:26] Rank:None, Sample ID:103, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.4412
[2025/03/05 17:57:34] Rank:None, Sample ID:104, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.7444
[2025/03/05 17:57:42] Rank:None, Sample ID:105, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.8608
[2025/03/05 17:57:50] Rank:None, Sample ID:106, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.6669
[2025/03/05 17:57:57] Rank:None, Sample ID:107, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.5053
[2025/03/05 17:58:05] Rank:None, Sample ID:108, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.274
[2025/03/05 17:58:13] Rank:None, Sample ID:109, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.8734
[2025/03/05 17:58:20] Rank:None, Sample ID:110, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.3433
[2025/03/05 17:58:28] Rank:None, Sample ID:111, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.007
[2025/03/05 17:58:35] Rank:None, Sample ID:112, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.99
[2025/03/05 17:58:43] Rank:None, Sample ID:113, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.8528
[2025/03/05 17:58:51] Rank:None, Sample ID:114, Epoch[300/300], lr:0.00e+00 pred_PSNR: 24.8015
[2025/03/05 17:58:58] Rank:None, Sample ID:115, Epoch[300/300], lr:0.00e+00 pred_PSNR: 24.2824
[2025/03/05 17:59:06] Rank:None, Sample ID:116, Epoch[300/300], lr:0.00e+00 pred_PSNR: 15.3683
[2025/03/05 17:59:14] Rank:None, Sample ID:117, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.0732
[2025/03/05 17:59:21] Rank:None, Sample ID:118, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.5076
[2025/03/05 17:59:29] Rank:None, Sample ID:119, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.5946
[2025/03/05 17:59:37] Rank:None, Sample ID:120, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.5093
[2025/03/05 17:59:44] Rank:None, Sample ID:121, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.0623
[2025/03/05 17:59:52] Rank:None, Sample ID:122, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.434
[2025/03/05 17:59:59] Rank:None, Sample ID:123, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.3696
[2025/03/05 18:00:07] Rank:None, Sample ID:124, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.6269
[2025/03/05 18:00:14] Rank:None, Sample ID:125, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.2516
[2025/03/05 18:00:22] Rank:None, Sample ID:126, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.4002
