VariantsB(
  (decoder): Sequential(
    (0): Conv2d(8, 192, kernel_size=(1, 1), stride=(1, 1))
    (1): PixelShuffle(upscale_factor=8)
  )
  (encoder): ModuleList(
    (0): TransformerBlock(
      (inflation): Conv2d(3, 16, kernel_size=(1, 1), stride=(1, 1))
      (transformer): MultiheadAttention(
        (out_proj): NonDynamicallyQuantizableLinear(in_features=16, out_features=16, bias=True)
      )
      (deflation): Conv2d(16, 3, kernel_size=(1, 1), stride=(1, 1))
    )
    (1-3): 3 x Sequential(
      (0): TransformerBlock(
        (inflation): Conv2d(3, 16, kernel_size=(1, 1), stride=(1, 1))
        (transformer): MultiheadAttention(
          (out_proj): NonDynamicallyQuantizableLinear(in_features=16, out_features=16, bias=True)
        )
        (deflation): Conv2d(16, 3, kernel_size=(1, 1), stride=(1, 1))
      )
      (1): Conv2d(3, 8, kernel_size=(1, 1), stride=(1, 1))
    )
  )
  (downsample): ModuleList(
    (0): Conv2d(3, 8, kernel_size=(2, 2), stride=(2, 2))
    (1-2): 2 x Conv2d(8, 8, kernel_size=(2, 2), stride=(2, 2))
    (3): Identity()
  )
)
Encoder_0.03M_Decoder_0.0M_Total_0.0M
[2025/03/05 17:36:15] Rank:None, Sample ID:55, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.4567
[2025/03/05 17:36:20] Rank:None, Sample ID:56, Epoch[300/300], lr:0.00e+00 pred_PSNR: 23.7622
[2025/03/05 17:36:26] Rank:None, Sample ID:57, Epoch[300/300], lr:0.00e+00 pred_PSNR: 20.7723
[2025/03/05 17:36:31] Rank:None, Sample ID:58, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.0235
[2025/03/05 17:36:36] Rank:None, Sample ID:59, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.3621
[2025/03/05 17:36:40] Rank:None, Sample ID:60, Epoch[300/300], lr:0.00e+00 pred_PSNR: 19.0864
[2025/03/05 17:36:44] Rank:None, Sample ID:61, Epoch[300/300], lr:0.00e+00 pred_PSNR: 24.5604
[2025/03/05 17:36:49] Rank:None, Sample ID:62, Epoch[300/300], lr:0.00e+00 pred_PSNR: 17.4772
[2025/03/05 17:36:54] Rank:None, Sample ID:63, Epoch[300/300], lr:0.00e+00 pred_PSNR: 22.8115
[2025/03/05 17:36:58] Rank:None, Sample ID:64, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.536
[2025/03/05 17:37:02] Rank:None, Sample ID:65, Epoch[300/300], lr:0.00e+00 pred_PSNR: 18.3081
[2025/03/05 17:37:06] Rank:None, Sample ID:66, Epoch[300/300], lr:0.00e+00 pred_PSNR: 21.3536
